"고유번호","언어","상호명","주소","신주소","전화번호","웹사이트","운영시간","교통정보"
"37815","ko","알맹상점"," 서울 마포구 합정동 427-5 ","04023 서울 마포구 월드컵로 49 (합정동) 2층 알맹상점","","https://blog.naver.com/almangmarket/222087633106","11:30 ~ 20:00","6호선 망원역 2번 출구에서 도보 5분"
"9575","ko","신세계백화점 강남점"," 서울 서초구 반포동 19-3번지"," 서울특별시 서초구 신반포로 176 (반포동) ","1588-1234","http://department.shinsegae.com/store/main.jsp?storeCode=D02","10:30 ~ 20:00 연장 영업시 20:30까지 식당가 : 11:00~21:30","3호선 고속터미널 지하 연결 통로"
"425","ko","이대 패션거리","120-753 서울 서대문구 대현동 145 ","03766 서울 서대문구 이화여대1길 10 (대현동 예스에이피엠) ","02-120","","","2호선 이대역 2번 출구 도보 5분   "
"465","ko","제니하우스"," 서울 강남구 청담동 16-1(청담힐) / 청담동 114-8(프리모) ","06065 서울 강남구 선릉로146길 56(청담힐) / 압구정로75길 28(프리모) ","02-541-7788(청담힐) / 02-3448-7114(프리모)","http://www.jennyhouse.co.kr/","10:00~18:00","분당선 압구정로데오역 3번출구 도보 5분  "
"475","ko","갤러리아 명품관","135-902 서울 강남구 압구정동 494 ","06008 서울 강남구 압구정로 343 (압구정동 갤러리아백화점) ","02-3449-4114","http://dept.galleria.co.kr/","월~목 10:30 ~ 20:00 금~일 10:30 ~ 20:30","분당선 압구정로데오역 1 2 7번출구    3호선 압구정역 2번 출구 방향 버스 또는 택시 3~5분 거리"
"488","ko","종각지하쇼핑센터","110-122 서울 종로구 종로2가 1-2 ","03164 서울 종로구 종로 지하 73 (종로2가 종각지하쇼핑센터) ","02-2290-6555","","10:00~22:00","1호선 종각역 9번 10번 11번 12번출구    "
"511","ko","청계5가 지하쇼핑센터","100-811 서울 중구 방산동 4-10 ","04562 서울 중구 동호로 지하 384 (방산동 청계5가지하쇼핑센터) ","02-2279-1321","","07:00 ~ 20:00  통로개방은 24시간","1호선 종로5가역 6번 7번출구 "
"2051","ko","이태원 앤티크(가구) 거리"," 서울시 용산구 이태원동 99-16 일대 "," 서울시 용산구 보광로 103-2 (이태원동)  일대 ","02-120","","각 매장별로 차이가 있음","6호선 이태원 4번 출구 도보 5분  "
"2080","ko","이태원 거리"," 서울 용산구 이태원1동 일대"," 서울시 용산구 이태원로 27나길 (이태원동)  일대 ","02-120","","","6호선 이태원 일대  "
"9627","ko","현대백화점 본점","135-724 서울 강남구 압구정동 429","135-724 서울특별시 강남구 압구정로 165  (압구정동) ","02-547-2233","http://www.ehyundai.com/newPortal/DP/DP000000_V.do?branchCd=B00121000","10:30 ~ 20:00  10:30 ~ 20:30 (연장엽업시) 10:30 ~ 22:00 (식당가)","3호선 압구정 6번 출구 지하통로 연결"
"9729","ko","서초 벼룩시장","137-060 서울특별시 서초구 방배동 493-3 사당역 공영주차장","06693 서울특별시 서초구 방배천로 4길 사당역 공영주차장","02-2155-6693","http://www.seocho.go.kr/site/fm/main.do","매주 토요일 09:00~15:00까지 운영","4호선 사당 11번 출구 이수역방면 도보 약 3분거리 7호선 이수 6번 출구 사당역 방면 도보 약 5분거리  2호선 사당 11번 출구 이수역방면 도보 약 3분거리  "
"9734","ko","명동지하쇼핑센터","100-092 서울 중구 남대문로2가 9-9 ","04532 서울 중구 소공로 지하 102 (남대문로2가 소공지하쇼핑센터) ","02-778-1331","","12~15번 출구 24시간 통로개방","2호선 을지로입구 7번출구  "
"9736","ko","센트럴시티","137-960 서울 서초구 반포동 19-3 19-3","06546 서울 서초구 신반포로 176 (반포동 센트럴시티빌딩) ","02-6282-0114","http://www.shinsegaecentralcity.com","매장별로 이용 시간이 다름","3호선 고속터미널 지하 연결 통로 7호선 고속터미널 지하 연결 통로  "
"9889","ko","이마트 왕십리점","133-070 서울 성동구 행당동 168-1","133-070 서울특별시 성동구 왕십리광장로 17 ","02-2200-1234~5","http://store.emart.com","10:00 - 23:00","중앙선 왕십리 456번 출구  5호선 왕십리 456번 출구  2호선 왕십리 456번 출구  "
"11921","ko","MCM 스페이스"," 중구 충무로2가 8-1 ","04537 서울특별시 중구 명동8가길 17 (충무로2가) ","02-753-7010","http://www.mcmworldwide.com/","11:00 - 19:00","4호선 명동 8번출구 150m  "
"15768","ko","K-STAR ROAD 강남 한류스타거리"," 서울특별시 강남구 압구정동 394","  ","02-3445-0111","http://tour.gangnam.go.kr/ko/prcenter/k-star-road/","","지하철 분당선 압구정로데오역 2번출구에서 도보 3분"
"19124","ko","서촌구루루","110-806 서울 종로구 누하동 248 ","03040 서울 종로구 필운대로 26 (누하동) ","070-8954-8815","","02:00~19:00","3호선 경복궁역 2번 출구"
"26964","ko","평화시장","100-850 서울 중구 을지로6가 17-48 ","04563 서울 중구 청계천로 274 (을지로6가) 평화시장","+82-2-2265-3531~3","","평일 22:00~18:00 토요일 22:00~20:00","1·4호선 동대문역 8번 출구 2·5호선 동대문역사문화공원역 13·14번 출구"
"28254","ko","연서시장","122-860 서울 은평구 불광동 310-11 ","03345 서울 은평구 통일로 850 (불광동 연서시장) ","02-355-1272","","08:00 ~ 22:00","3·6호선 연신내역 2번 출구"
"31944","ko","증산종합시장 ","122-937 서울 은평구 증산동 184-9 증산종합시장 ","03500 서울 은평구 증산로3길 12 (증산동) 증산종합시장 ","02-373-5990","","","6호선 증산역 3번 출구 "
"32762","ko","서울 시내 핵심 관광지 ‘자유이용권’ <디스커버서울패스>","  ","  ","","","",""
"33076","ko","덕질의 시작은 홍대","  ","  ","","","",""
"37951","ko","해방촌 신흥시장"," 서울 용산구 용산동2가 1-480 ","04337 서울 용산구 신흥로 95-9 (용산동2가) 해방촌 신흥시장","02-754-7389","http://www.letshbc.com","상점마다 상이","녹사평역 2번출구"
"38787","ko","설화수 플래그십 스토어"," 서울 강남구 신사동 650 ","06021 서울 강남구 도산대로45길 18 (신사동) ","02-541-9270","https://www.sulwhasoo.com/kr/ko/flagship/journey/journey.html","10:00 ~ 20:00","수인분당선 압구정로데오역 5번 출구에서 708m"
"61","ko","동대문 쇼핑타운","100-951 서울 중구 을지로6가 18-35 ","04564 서울 중구 장충단로 253 (을지로6가 헬로우APM) ","02-120","http://www.ddm-mall.co.kr/","각 상가별로 이용시간에 차이 있음","4호선 동대문역 8번 출구 도보 5분    4호선 동대문 역사 문화공원역 14번 1번 출구 일대   "
"67","ko","명동 쇼핑","100-809 서울 중구 명동2가 31-1 ","04536 서울 중구 명동8길 27 (명동2가 엠 플라자) ","02-120","","각 매장에 따라 차이가 있음","4호선 명동역 5~10번 출구 일대"
"281","ko","통인시장","110-043 서울 종로구 통인동 10-3 ","03036 서울 종로구 자하문로15길 18 ","02-722-0911","http://tonginmarket.co.kr","통인시장 영업시간 : 7:00 ~ 21:00 ※ 상점에 따라 상이하며 정확한 개점 폐점 시간은 없음  도시락 카페 영업시간 11:00 ~ 17:00 ※ 도시락 카페 엽전 판매는 평일 11:00 ~ 15:00 주말 11:00 ~ 16:00까지","3호선 경복궁역 2번 출구 → 2번 출구와 3번 출구 사이 도로를 따라 직진   "
"286","ko","광장시장","110-833 서울 종로구 예지동 6-1 ","03195 서울 종로구 창경궁로 88 ","02-2267-0291","http://www.kwangjangmarket.co.kr/","09:00 ~ 18:00 09:00 ~ 23:00 (먹자골목) 10:00 ~ 19:00 (구제상가)","	1호선 종로5가역 8번 출구 도보 5분    2호선 을지로4가역 4번 출구 도보 15분   "
"338","ko","SMTOWN&STORE@DDP","100-197 서울 중구 을지로7가 2-1 동대문 디자인 플라자 1F 살림1관","04566 서울 중구 을지로 281 (을지로7가) 동대문 디자인 플라자 1F 살림1관","02-2153-0660","https://smtownandstore.com/product/META-PASSPORT.html","10:00- 20:00","지하철 245호선 동대문역사문화공원역 12번출구"
"1939","ko","회현 중고 LP 상가","100-747 서울 중구 충무로1가 신세계백화점 건물 지하 회현동 지하상가","100-747 서울특별시 중구 소공로 63 (충무로1가) ","02-120","","각 매장별로 차이가 있음","4호선 명동 5번 6번 출구 방향 도보 5분 4호선 회현 7번 출구 도보 10분  "
"2106","ko","종로 귀금속 거리","110-123 서울 종로구 종로3가 23-1 ","03139 서울 종로구 돈화문로 23 (종로3가) ","02-120","","각 매장별로 차이가 있음","3호선 종로3가역 1번 2번 9번 10번 11번 출구로 나오면 바로 확인 가능    5호선 종로3가역 1번 2번 9번 10번 11번 출구로 나오면 바로 확인 가능    1호선 종로3가역 1번 2번 9번 10번 11번 출구로 나오면 바로 확인 가능 "
"9516","ko","아리따움","04536 서울 중구 명동2가 54-28 ","04536 서울 중구 명동4길 17 ","02-318-2784 (명동점)","http://www.aritaum.com/main.do?source=http://search.naver.com/search.naver%3Fwhere=nexearch%26ie=utf8%26query=%EC%95%84%EB%A6%AC%EB%94%B0%EC%9B%80%26sm=tab_stc%26url=http%3A%2F%2Fwww.aritaum.com%2F%26ucs=hODsWXilipOq","매장마다 다름","4호선 명동 6번 출구  "
"9547","ko","숭인시장","142-140 서울 강북구 송천동 60-5","142-140 서울특별시 강북구 도봉로 45 (미아동) ","02-988-1430","","매장별로 이용 시간이 다름","4호선 미아삼거리 4번 5번 출구 도보 5분"
"9606","ko","현대백화점 무역센터점","135-090 서울 강남구 삼성동 159-7","135-090 서울특별시 강남구 테헤란로 517 (삼성동) ","02-549-2233","http://www.ehyundai.com/newPortal/DP/DP000000_M.jsp?pSiteMapId=0101020000&branchCd=B00122000&swfseq=0000&ip=0","월~목 10:30 ~ 20:00 금~일 10:30 ~ 20:30 연장영업(~20시 30분): 주말 및 특정 지정일","2호선 삼성 5번출구 백화점 지하1층 바로연결"
"9677","ko","동화면세점","110-730 서울 종로구 세종로 211 광화문빌딩 지하 1층","110-730 서울특별시 종로구 세종대로 149 광화문빌딩 지하 1층 (세종로) ","1688-6680","http://www.dwdfs.com/","09:30 - 18:30 ","5호선 광화문 6번 출구 도보 2분 1호선 시청 3번 출구 도보 5분  "
"18918","ko","북촌상회　","110-801 서울 종로구 계동 105 ","03059 서울 종로구 계동길 37 (계동) ","02-743-1470　","https://bukchonshop.tistory.com/","평일 AM 09:30 ~ PM 06:00 주말/공휴일 AM 9:30 ~ PM 05:00","3호선 안국역 3번 출구"
"24420","ko","한국관광명품점","110-300 서울 종로구 관훈동 198-31 ","03149 서울 종로구 인사동5길 14 (관훈동) ","02-735-6529","http://www.souvenir.or.kr/","매일 10:00~21:30","3호선 안국역 6번 출구"
"24463","ko","신세계면세점","100-011 서울 중구 충무로1가 54 ","04530 서울 중구 퇴계로 77 (충무로1가 신세계백화점) ","1661-8778","http://www.shinsegaedf.com/store/kr/mdStore","11:00 - 18:00","4호선 회현역 7번 출구"
"26644","ko","마이시티 상암점","121-904 서울 마포구 상암동 1606 ","03926 서울 마포구 상암산로 66 (상암동 CJ E&M CENTER) 1층 ","070-8899-8321","http://myctstudio.com/","평일 09:30~21:00  주말 11:00~20:30","6호선 디지털미디어시티 역 9번 출구에서 도보로 15분"
"26955","ko","송림수제화","100-846 서울 중구 을지로3가 5-10 ","04543 서울 중구 수표로 60-1 (을지로3가) 3~4층","02-2279-1910","","평일 09:30 - 19:00 토요일 09:30 - 18:00 공휴일 09:30 - 18:00","2·3호선 을지로3가역 2번 출구"
"28335","ko","공덕시장","121-803 서울 마포구 공덕동 256-10 ","04214 서울 마포구 만리재로 19 (공덕동 공덕시장) ","+82-2-712-0076","","점포별 상이","5·6호선·경의중앙선·공항철도 공덕역 5번 출구"
"29048","ko","한신옹기","140-835 서울 용산구 용산동2가 5-1612 ","04338 서울 용산구 신흥로 7 (용산동2가) ","+82-2-794-3687","","매일 다름","녹사평역 2번 출구"
"31984","ko","제일시장","122-837 서울 은평구 대조동 14-1 제일시장","03397 서울 은평구 통일로 731 (대조동) 제일시장","02-352-1993","","","3호선 불광역 6번 출구"
"34459","ko","스타일난다 핑크 호텔 (명동 플래그십 스토어)"," 서울 중구 충무로2가 66-2 ","04536 서울 중구 명동8길 37-8 (충무로2가) 스타일난다 핑크호텔","02-752-4546","https://www.stylenanda.com","11:00 ~ 23:00 ","4호선 명동역 6번 출구"
"34835","ko","상생상회"," 서울 종로구 안국동 175-3 ","03061 서울 종로구 율곡로 39 (안국동) 안국빌딩 신관 1층/B1 층","상품 구입문의 02) 738- 1010 / 전시․견학 문의 070) 5121-3068","http://sangsaeng.seoul.go.kr/","1층 상생상회 매장 11:00 ~ 20:00 (명절 당일 및 매달 마지막 주 월요일 휴무) 지하 1층 지역 자원 전시 홍보 공간 09:00 ~ 18:00 ( 토일 및 공휴일 휴관)","3호선 안국역 1번 출구"
"217","ko","롯데백화점 본점","100-721 서울 중구 소공동 1 ","04533 서울 중구 남대문로 81 (소공동 롯데백화점 본점) ","1577-0001","https://www.lotteshopping.com/","월~목 10:30 ~ 20:00 (연장시 10:30 - 20:30) 금요일 주말 10:30 - 20:30","2호선 을지로입구역 78번 출구 이용 1호선 시청역 6번 출구 도보 10분 거리 4호선 명동역 5번 출구 도보 20분 거리"
"1307","ko","청담 패션 거리 ","135-959 서울특별시 강남구 청담동 패션 거리 일대 ","06010 서울특별시 강남구 청담동 패션 거리 일대 ","02-3445-0111","","각 브랜드별 매장별로 차이가 있으므로 사전에 확인 요망","분당선 압구정로데오역 34번 출구"
"1812","ko","문정동 로데오거리","138-200 서울 송파구 문정동 41-5","138-200 서울특별시 송파구 동남로4길 10 (문정동) ","02-400-1633","","","8호선 문정 1번 출구 도보 15분  "
"9612","ko","뚝섬 아름다운 나눔장터","143-922 서울 광진구 자양동 704-1 ","05097 서울 광진구 강변북로 139 (자양동 한강사업본부뚝섬안내센터) ","1899-1017","http://www.flea1004.com/","장터내용마다 다름(전화문의)","7호선 뚝섬유원지 2번 3번 출구 도보 5분  "
"9631","ko","방학동 도깨비시장","132-841 서울 도봉구 방학동 631-5 632-","01358 서울 도봉구 도당로13다길 30 (방학동) ","02-954-1225","http://bhdokkaebi.modoo.at/","8:00~21:30","1호선 방학 2번 출구 1126번 환승 후 원약국 정류장 하차  "
"10469","ko","Addicted","135-897 서울 강남구 신사동 657-25 ","06018 서울 강남구 선릉로155길 24 ","02-547-7332","http://www.eaddicted.com/","12:00 ~ 21:00 ","신분당선 압구정로데오역 5번 출구 도보 3분 "
"10502","ko","라움에디션"," 서울특별시 강남구 압구정동 494번지 WEST 3층 "," 서울특별시 강남구 압구정로 343 갤러리아백화점명품관 WEST 3F ","02-6905-3661","http://www.lfmall.co.kr/p2/display/menu?id=48","평일 10:30 ~ 20:00 주말 10:30 ~ 20:30 ","분당선 압구정로데오역 7번 출구"
"11548","ko","라뷰티코아 청담 세이엇데이점","135-954 서울 강남구 청담동 88-20 ","06014 서울 강남구 선릉로158길 12 ","02-3444-4001","http://www.rabeauty.com","AM 10:00 ~ PM 06:00  ","분당선 압구정로데오역 4번출구"
"11597","ko","10 꼬르소 꼬모","135-954 서울 강남구 청담동 79 79번지","06015 서울 강남구 압구정로 416 (청담동) ","02-3018-1010","http://www.10corsocomo.com","11:00 - 20:00 ","분당선 압구정로데오역 3번 출구"
"11785","ko","새김소리"," 종로구 관훈동 196-6 1층","03149 서울특별시 종로구 인사동길 33 (관훈동) 1층","02-737-7809","http://saegimsori.com","인사동본점 10:00 ~ 20:30 ","135호선 종로3가역 5번 출구 3호선 안국역 6번 출구"
