No.,도서관 구분,도서관명,이용시간,휴관일,전화번호,홈페이지,자치구,주소,책이음,수정일
2665,작은 도서관,KB국민은행과 함께하는 나무작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00","일요일, 법정공휴일",070-4158-9660,www.nowonlib.kr,노원구,"서울특별시 노원구 동일로 1405, KB금융 노원프라자 (상계동) 별관1층",미참여,2021-02-09
1909,전문 도서관,KCDF아카이브센터,"평일 : 09:00~18:00, 주말 : 10:00~19:00","일요일, 월요일, 법정공휴일, 창립기념일(4월 1일), 기타 원장이 필요하다고 인정하는 날",02-733-9042,http://library.kcdf.kr/libeka_web2/,종로구,서울특별시 종로구 인사동 11길 8 KCDF갤러리,미참여,
1760,전문 도서관,KOBACO광고도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-2144-0182,http://adlib.kobaco.co.kr/,송파구,서울특별시 송파구 올림픽로35길 137 한국광고문화회관 4층,미참여,
1745,전문 도서관,KOTRA무역자료실,"평일 : 09:00~17:30(12:00~13:00 2호만 열람 가능), 주말 :","토요일, 일요일, 공휴일","02-3460-7404, 7407(1호) 02-3460-7408, 7405(2호)",http://news.kotra.or.kr/kotranews/subIndex/321.do,서초구,서울특별시 서초구 헌릉로 13 KOTRA 본사 3층,미참여,
65,전문 도서관,LG상남도서관,,(디지털도서관),02-708-3700,http://www.lg.or.kr,종로구,서울특별시 종로구 창덕궁 1길 18(원서동 136),미참여,
1571,작은 도서관,LH강남3단지작은도서관,"월, 수, 금요일 : 13:00~17:00","화,목요일, 주말",02-459-8700,,강남구,서울특별시 강남구 자곡로3길 22,미참여,2020-06-26
1539,작은 도서관,LH서초3단지행복도서관,"평일 : 14:00~18:00, 주말 : 휴관일","토요일,일요일",,,서초구,"서울특별시 서초구 양재대로 2길 34 우면동, LH서초 3단지 아파트",미참여,
1540,작은 도서관,LH서초4단지작은도서관,평일 : 15:00~18:00,"토요일,일요일",,,서초구,"서울특별시 서초구 양재대로2길 33 우면동, LH서초 4단지 아파트",미참여,
1635,작은 도서관,LH서초5단지작은도서관,"평일 : 14:00~18:00, 주말 : 휴관일","토요일,일요일",,,서초구,서울특별시 서초구 양재대로2길 11 LH서초5단지 작은도서관,미참여,
1806,전문 도서관,SC제일은행도서실,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-779-6586,,중구,"서울특별시 중구 남대문로 42, SC제일은행 제일지점 3층 SC러닝센터 도서실",미참여,
2054,작은 도서관,THEBRIDGE작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토,일",070-4459-8829,https://blog.naver.com/thanku2016,송파구,서울특별시 송파구 동남로24길 11 2층,미참여,
1670,작은 도서관,U+Library,"평일 : 09:00~18:00, 2,3주(수) : 09:00~17:00","주말, 법정공휴일",070-4080-3004,,용산구,"서울특별시 용산구 한강대로 32, (한강로3가) LG유플러스 1층",미참여,
2430,작은 도서관,e편한세상염창작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2668-9916,,강서구,서울특별시 강서구 공항대로 583 관리동,미참여,
2745,작은 도서관,e편한세상영등포아델포레작은도서관,-,,02-849-9824,,영등포구,서울특별시 영등포구 신길로29,미참여,2021-08-28
1434,작은 도서관,sk북카페꿈땅,"평일 : 14:00~18:00, 주말 : 휴관일","토,일요일",02-2212-4518,,동대문구,서울특별시 동대문구 사가정로 148 SK아파트 내,미참여,
1848,작은 도서관,休+밤토리SH작은도서관,"화, 수, 목, 금, 일요일 : 14:00~18:00","매주 월요일, 토요일",02-2226-7942,http://cafe.naver.com/segok2love,강남구,"서울특별시 강남구 밤고개로26길 50(율현동, 강남한신휴플러스6단지)",미참여,
2514,작은 도서관,가락2동새마을문고(로즈마리작은도서관),"평일 : 11:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-431-4446,http://garak2.songpa.go.kr,송파구,서울특별시 송파구 중대로20길 6 가락2동주민센터 1층,미참여,
1844,공공 도서관,가락몰도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00",매주 월요일 및 법정공휴일,"02-3435-0950, 0956",http://www.splib.or.kr,송파구,서울특별시 송파구 양재대로 932 서울시농수산식품공사 가락몰 업무동 4층,참여,
2515,작은 도서관,가락본동새마을문고(글향기작은도서관),"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-448-9116,http://garakbon.songpa.go.kr,송파구,서울특별시 송파구 송파대로28길 39 가락본동주민센터 1층,미참여,
146,작은 도서관,가람슬기작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-474-4030,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 강동대로53길 76, (성내동) 성내3동주민센터 1층",참여,
1850,작은 도서관,가람작은도서관,"평일 : 09:00~17:00, 주말 : 휴관","토요일, 일요일, 공휴일",02-2668-4603,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 양천로57길 36 가양5종합사회복지관,미참여,2022-06-09
305,작은 도서관,가리봉동도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일요일, 법정공휴일",02-860-2518,http://lib.guro.go.kr,구로구,서울특별시 구로구 남부순환로 105길 198 가리봉동자치회관,참여,
2010,작은 도서관,가양9-1단지작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2668-9155,,강서구,"서울특별시 강서구 허준로224, 관리동 2층",미참여,
1838,공공 도서관,가양도서관,"평일 : 09:00~22:00, 일요일 : 09:00~17:00","매주 월요일, 법정공휴일",02-3665-8797,http://lib.gangseo.seoul.kr,강서구,서울특별시 강서구 양천로61길101(가양동 1493),미참여,2021-08-28
85,공공 도서관,가온도서관,"평일 : 09:00~22:00, 주말 : 09:00~22:00",매주월요일 및 법정 공휴일(일요일제외),02.2230-2921,http://www.e-junggulib.or.kr,중구,서울특별시 중구 동호로14길 18,미참여,
370,작은 도서관,가온작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~13:00","일요일, 법정공휴일",02-2116-2946,http://www.nowonlib.kr/,노원구,서울특별시 노원구 노원로530 상계10동주민센터,미참여,
2465,작은 도서관,가재울 지혜마루 작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~13:00","일, 법정공휴일",02-2116-2564,http://www.nowonlib.kr/,노원구,서울특별시 노원구 한글비석로 97 (하계1동) 에너지제로주택 주민커뮤니티동 1층,미참여,
2680,작은 도서관,가좌행복작은도서관,평일: 13:00 ~ 17:00,"매주 토, 일요일 및 법정공휴일",02-302-9472,,마포구,서울시 마포구 성암로 28,미참여,2021-02-09
2711,공공 도서관,가좌행복작은도서관,평일: 13:00 ~ 17:00,"매주 토, 일요일 및 법정공휴일",02-302-9472,,마포구,서울특별시 마포구 성암로 28,미참여,2021-02-09
1719,전문 도서관,가톨릭대성바오로병원의학도서관,"평일 : 08:30~17:30, 주말 : 휴관일","토요일, 일요일, 공휴일",02-958-2347,http://www.cmcbaoro.or.kr/examination/post_05_01.jsp,동대문구,서울특별시 동대문구 왕산로 180 가톨릭대학교 성바오로병원 별관 1층,미참여,
2436,작은 도서관,갈보리작은도서관,"평일 : 14:00~20:00, 주말 : 10:00~18:00",일요일,,해당없음,관악구,서울특별시 관악구 관천로11길 57 지하1층,미참여,
1408,공공 도서관,갈산도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 월요일, 법정공휴일",02-2649-2732,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 목동남로4길 48,참여,
1935,공공 도서관,강남구립못골도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,02-459-5522,http://mglib.gangnam.go.kr,강남구,서울특별시 강남구 자곡로 116,참여,2021-08-28
1066,공공 도서관,강남역삼푸른솔도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,02-2051-1178,http://ysplib.gangnam.go.kr/,강남구,서울특별시 강남구 테헤란로8길 36. 4층,참여,2021-08-28
1845,작은 도서관,강남한신휴플러스8단지작은도서관,평일 : 16:00~18:00,"토,일요일, 법정공휴일",02-445-9831,,강남구,"서울특별시 강남구 밤고개로27길 20(율현동, 강남한신휴플러스8단지)",미참여,
1572,작은 도서관,강남한양수자인작은씨앗도서관,평일 : 10:00~18:00,"토,일요일, 법정공휴일",,cafe.naver.com/sujainbook,강남구,서울특별시 강남구 자곡로 260,미참여,2021-08-28
105,공공 도서관,강동구립강일도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,02-427-7676,http://www.gdlibrary.or.kr,강동구,서울특별시 강동구 아리수로 93길 9-14,참여,2021-08-28
2699,공공 도서관,강동구립둔촌도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,02-48-6557,http://www.gdlibrary.or.kr,강동구,서울특별시 강동구 동남로49길 21-8,참여,2021-02-09
63,공공 도서관,강동구립성내도서관,"평일 : 09:00~20:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-471-1071,http://www.gdlibrary.or.kr,강동구,서울특별시 강동구 성안로 106-1,참여,
1067,공공 도서관,강동구립암사도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-429-0476,http://www.gdlibrary.or.kr,강동구,서울특별시 고덕로 20길 42 (암사동 471-37),참여,
1971,공공 도서관,강동구립천호도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-488-7223,http://www.gdlibrary.or.kr,강동구,서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층),참여,
96,공공 도서관,강동구립해공도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,02-478-9656,http://www.gdlibrary.or.kr,강동구,서울특별시 강동구 올림픽로 702,참여,
1702,전문 도서관,강동성심병원의학도서실,"평일 : 08:30~17:30, 주말 : 08:30~13:30","토요일(격주),일요일, 법정공휴일",02-2224-2172,http://dl.hallym.or.kr/hl/,강동구,서울특별시 강동구 성안로 150 강동성심병원 제2별관 교육연구관 5층,미참여,
1262,작은 도서관,강동육아누리도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",일요일,02-487-3516,www.gdkids.or.kr,강동구,서울특별시 강동구 상암로 168 강동구민회관 2층 2층,미참여,
32,공공 도서관,강북문화정보도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매월 둘째/넷째 월요일 및 법정 공휴일,02-944-3100,http://www.gblib.or.kr/gangbuk/,강북구,서울특별시 강북구 오현로 145,참여,2021-01-14
1803,전문 도서관,강북삼성병원의학정보실,"평일 : 08:00~17:00, 주말 : 08:00~12:00",법정공휴일,02-2001-2795,http://lib.kbsmc.co.kr,종로구,서울특별시 종로구 새문안로 29(평동) 강북삼성병원,미참여,
1582,작은 도서관,강북새희망도서관,"평일 : 13:00~19:00, 주말 : 휴관일","토요일,일요일",02-991-5133,http://cafe.daum.net/01089065133,강북구,서울특별시 강북구 삼양로 91가길 2 2층 2층,미참여,
33,공공 도서관,강북청소년문화정보도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매월 둘째/넷째 월요일 및 법정 공휴일,02-944-3140,http://www.gblib.or.kr/youth/,강북구,서울특별시 강북구 삼양로54길 68,참여,2021-01-14
1398,공공 도서관,강서영어도서관,"평일 : 09:00~22:00, 일요일 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-2061-2274,lib.gangseo.seoul.kr,강서구,서울특별시 강서구 곰달래로57가길 26,미참여,2022-02-03
71,장애인 도서관,강서점자도서관,"평일 : 09:30~17:30, 주말 : 09:30~13:00","토요일(첫째, 셋째주), 일요일, 법정공휴일","02-2661-2278,2291",http://www.ksbl.or.kr/,강서구,서울특별시 강서구 공항대로 206 801~803호,미참여,2020-10-23
2533,작은 도서관,강서제일 어린이 도서관,"평일 : 13:00~17:00, 주말 : 09:00~14:00","월,화요일",02-2601-1271070-5001-4115,,양천구,서울특별시 양천구 화곡로10길 19(신월동),미참여,
2008,작은 도서관,강일1단지작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-427-0051,,강동구,서울특별시 강동구 아리수로 93가길25 관리동 2층,미참여,
128,작은 도서관,강일리버파크6단지책향기작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","매주 토요일,일요일",02-426-6649,http://cafe.naver.com/gangilriverpark6,강동구,서울특별시 강동구 아리수로94길 19 강일리버파크6단지아파트 관리사무소 2층,미참여,2021-01-14
308,작은 도서관,개봉2동도서관,"평일 : 10:00~17:00, 주말 : 09:30~12:30","일요일, 법정공휴일",02-2620-7851,http://lib.guro.go.kr,구로구,서울특별시 구로구 개봉로16가길 17 개봉2동주민센터,참여,
309,작은 도서관,개봉3동도서관,"평일 : 10:00~16:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7852,http://lib.guro.go.kr,구로구,서울특별시 구로구 개봉로3길 47 개봉3동주민센터 2층,참여,
883,공공 도서관,개봉도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,02-2689-1695,http://lib.guro.go.kr,구로구,서울특별시 구로구 개봉로16길 30-11,참여,
882,공공 도서관,개봉어린이도서관,"평일 : 10:00~19:00, 주말 : 10:00~17:00",매주 월요일 및 법정 공휴일,02-2066-1659,http://lib.guro.go.kr,구로구,서울특별시 구로구 경인로 318-15,참여,2021-01-14
1610,작은 도서관,개봉푸르지오도서관,"평일 : 13:00~17:00, 주말 : 휴관일","매주 토요일, 일요일",070-4206-0466,www.smalllibrary.org,구로구,서울특별시 구로구 남부순환로 775 1층,미참여,
650,공공 도서관,개울건강도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00",매주 일요일 및 법정 공휴일,02-2696-8910,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 중앙로52길 56,참여,
114,작은 도서관,개포4동작은도서관,평일 : 09:00~17:30,"토,일요일, 법정공휴일",02-3423-7884,https://library.gangnam.go.kr/small,강남구,서울특별시 강남구 개포로38길 12 개포4동주민센터,참여,
54,공공 도서관,거마도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00",매월둘째/넷째월요일및법정공휴일,02-449-2332,http://www.splib.or.kr,송파구,서울특별시 송파구 거마로2길19,참여,2021-08-28
625,작은 도서관,거여1동새마을문고,"평일 : 13:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-449-8025,http://geoyeo1.songpa.go.kr,송파구,서울특별시 송파구 오금로53길 32 거여1동주민센터 3층,미참여,
1653,작은 도서관,거여2동새마을문고(거여2동작은도서관),"평일 : 13:00~17:00, 주말 : 휴관일","매주 토요일,일요일",02-443-7240,http://geoyeo2.songpa.go.kr,송파구,서울특별시 송파구 거마로2길 19 거여2동주민센터 2층,미참여,
133,작은 도서관,게냇골작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-428-7041,http://www.gdlibrary.or.kr/small/,강동구,서울특별시 강동구 구천면로 633(상일동) 상일동 주민센터 2층,참여,
1975,작은 도서관,겨자씨작은도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00",월요일,02-988-0531,,강북구,서울특별시 강북구 삼양로 27길 35 삼양제일교회,미참여,
1990,작은 도서관,겸재작은도서관,(하절기)월~일 10:00~21:00(동절기)월~일 10:00~18:00,"둘째, 넷째주 월요일",070-4209-5183,http://smlib.jungnanglib.seoul.kr/small/main.do,중랑구,서울특별시 중랑구 면목동 1031-22,참여,2021-01-14
1756,전문 도서관,경찰병원의학도서실,"평일 : 08:30~17:30, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-3400-1126,,송파구,서울특별시 송파구 송이로 123 경찰병원 본관 2층,미참여,
2697,작은 도서관,경희궁자이3단지 작은도서관,"평일 : 06:00~25:00, 주말 : 06:00~25:00",월요일,02-737-2101,,종로구,서울특별시 종로구 경교장길 35 304동 지하1층,미참여,2021-02-09
1720,전문 도서관,경희의료원의학도서실,"평일 : 08:30~17:30, 주말 : 휴관일","토요일, 일요일, 공휴일",02-958-9073,http://kmclib.khu.ac.kr/,동대문구,서울특별시 동대문구 경희대로 23 정보행정동 지하 2층,미참여,
1558,작은 도서관,고덕리엔파크3단지SH작은도서관,"평일 : 12:00~16:00, 주말 : 13:00~17:00",매주 화요일,070-4234-0490,http://godeokrien3library.modoo.at/,강동구,서울특별시 강동구 상일로 74 고덕리엔파크3단지아파트 315동 1층,미참여,
2564,작은 도서관,고래이야기 작은도서관,평일 : 13:00~18:00,"매주 토,일요일 및 법정 공휴일",070-8950-0615,,용산구,서울특별시 용산구 효창원로 157(효창맨숀아파트) 1층,미참여,
2516,작은 도서관,고려작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토요일,일요일",,없음,송파구,서울특별시 송파구 백제고분로 11길 35,미참여,
730,작은 도서관,고리마루작은도서관,평일 : 09:00~18:00,"토, 일, 법정공휴일",02-351-5116,http://library.eunpyeong.seoul.kr/usweb/opt2/usmn100.asp?,은평구,서울특별시 은평구 갈현로 301(갈현1동청사및문화의집) 갈현1동 주민센터,참여,
2534,작은 도서관,고맙습니다 신정3동 작은도서관,"평일 : 10:00~18:00, 토요일 : 10:00~14:00","일, 법정공휴일",02-2699-6855,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 중앙로 209 신정3동주민센터 2층,참여,
1278,작은 도서관,고맙습니다하난곡작은도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",화요일,02-868-8994,http://www.gwanakcullib.seoul.kr/ecolas-dl/new_kwan/bp_lib/index.php,관악구,"서울특별시 관악구 난우10가길 20-7 하난곡어린이집 2,3층",미참여,
2535,작은 도서관,고운달작은도서관,평일 : 10:00~18:00,"토,일,법정공휴일",02-2620-4069,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 곰달래로1길 38 신월1동주민센터 2층,참여,
2536,작은 도서관,고운맘작은도서관,"평일 : 10:00~18:00, 토요일 : 10:00~14:00","일, 법정공휴일",02-2694-5454,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 중앙로53길 47 신월2동주민센터 2층,참여,
306,작은 도서관,고척1동도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7848,http://lib.guro.go.kr,구로구,서울특별시 구로구 중앙로3길 18-8 고척1동 주민센터,참여,
307,작은 도서관,고척2동도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7849,http://lib.guro.go.kr,구로구,서울특별시 구로구 중앙로15길 22 고척2동주민센터,참여,
316,작은 도서관,고척교회도서관책마을,"평일 : 11:00~17:00, 주말 : 09:00~14:00","매주 토요일, 공휴일",02-2686-5871,http://lib.guro.go.kr,구로구,서울특별시 구로구 중앙로 79 고척교회,참여,
2450,작은 도서관,고척벽산베스트블루밍아파트,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2066-2954,www.smalllibrary.org,구로구,서울특별시 구로구 고척로 60길 30 관리사무소 2층,미참여,
2451,작은 도서관,고척벽산블루밍(아)경로당 작은도서관,평일 : 09:00~18:00,"토, 일, 법정공휴일",02-63634-6233,,구로구,서울특별시 구로구 경인로390 벽산블루밍 경로당,미참여,
1377,공공 도서관,곰달래도서관,"평일 : 09:00~22:00, 일요일 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-2065-3785,http://lib.gangseo.seoul.kr,강서구,"서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)",미참여,2021-08-28
571,작은 도서관,곰세마리어린이도서관,"화~금 : 10:00~18:00, 주말 : 10:00~15:00","월요일, 법정공휴일",02-742-3385,www.thechurch.or.kr,성북구,서울특별시 성북구 삼선교로 54 본교회 3층,미참여,2021-08-28
2611,전문 도서관,공간종합건축사사무소 자료실,,,02-763-0771,,중구,서울특별시 중구 퇴계로36가길 104,미참여,
1476,작은 도서관,공덕동문고(마실길북카페),"평일 : 10:00~18:00, 주말 : 휴관일","토,일요일",02-3153-6516,http://lib.mapo.go.kr/,마포구,서울특별시 마포구 만리재옛길 84 공덕동주민센터,미참여,
209,작은 도서관,공룡어린이도서관,"평일 : 14:00~18:00, 주말 : 토요일:14:00~18:00, 일요일:10:00~14:00",월요일,02-2601-5233,,강서구,서울특별시 강서구 까치산로 144 꿈이있는어린이도서관 강남교회,미참여,
1070,공공 도서관,공릉청소년문화정보센터화랑도서관,"평일 : 09:00~22:00, 토 : 09:00~18:00 일 : 09:00~17:00","매주 월요일, 법정공휴일",02-973-1318,http://www.gycenter.or.kr/,노원구,서울특별시 노원구 노원로1나길 10,미참여,2021-01-14
1826,공공 도서관,공릉행복발전소공릉도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 일요일, 법정공휴일",02-976-3820,http://www.nowonlib.kr/,노원구,서울특별시 노원구 동일로179길 22,미참여,
43,공공 도서관,관악중앙도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-828-5700,http://www.gwanakcullib.seoul.kr,관악구,서울특별시 관악구 신림로 3길 35,참여,2021-08-28
2659,작은 도서관,관악파크푸르지오 작은도서관,"평일 : 10:00~20:00, 주말 : 10:00~18:00","일요일, 공휴일",,,관악구,서울특별시 관악구 행운10길 21,미참여,2021-02-09
2043,작은 도서관,광석어린이작은도서관,"평일 : 10:00~17:00, 주말 : 10:00~17:00","월요일, 공휴일",02-965-2451,,동대문구,"서울특별시 동대문구 왕산로 26길 49, 광석교회 1층",미참여,
293,작은 도서관,광장동새마을작은도서관,월~금 12:00 ~ 16:00,"토,일,공휴일",02-458-8379,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 광장로 52 광장동주민센터 2층,참여,
1064,작은 도서관,광장현대파크빌도서관,"평일 : 09:00~23:00, 주말 : 휴관일","매주 토,일요일",02-458-7480,,광진구,서울특별시 광진구 아차산로 549 현대파크빌아파트관리사무소 1층,미참여,
318,작은 도서관,광진교회도서실,"평일 : 11:00~17:00, 주말 : 12:00~18:00","월요일, 법정공휴일",02-2625-0761,http://lib.guro.go.kr,구로구,서울특별시 구로구 개봉로3길 102 광진교회,참여,
27,공공 도서관,광진정보도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매월둘째/넷째화요일및법정공휴일,02-3437-5092~5  ,http://www.gwangjinlib.seoul.kr/,광진구,서울특별시 광진구 아차산로78길 90(광장동),참여,2021-08-28
1419,작은 도서관,광희동작은도서관,"평일 : 10:00~17:00, 주말 : 10:00~14:00(토)","일,법정공휴일",02-2261-3002,http://www.e-junggulib.or.kr,중구,서울특별시 중구 퇴계로 303-9 광희동주민센터 2층,미참여,
2598,전문 도서관,교보생명 정보자료실,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",,,종로구,서울특별시 종로구 종로1,미참여,
301,작은 도서관,구로1동도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7842,http://lib.guro.go.kr,구로구,서울특별시 구로구 구일로4길 57 구로1동주민센터 2층,참여,
302,작은 도서관,구로2동도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7843,http://lib.guro.go.kr,구로구,서울특별시 구로구 구로동로50길 10 구로2동자치회관,참여,
303,작은 도서관,구로4동도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7845,http://lib.guro.go.kr,구로구,서울특별시 구로구 구로동로28길 94 구로4동주민센터,참여,
304,작은 도서관,구로5동도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7846,http://lib.guro.go.kr,구로구,서울특별시 구로구 구로중앙로28길 66 구로5동주민센터,참여,
2026,작은 도서관,구로구근로자복지센터작은도서관,"평일 : 0930~20:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-852-7340,http://www.laborguro.org/page/sub2_3,구로구,"서울특별시 구로구 디지털로242, 한화비즈메트로 203호, 213호",미참여,2021-01-14
2135,공공 도서관,구로기적의도서관,"평일 : 10:00~20:00, 주말 : 10:00~17:00",매주 월요일 및 법정 공휴일,02-2632-8878,http://lib.guro.go.kr,구로구,서울특별시 구로구 구로중앙로40길 24(신도림동),미참여,2021-08-28
41,공공 도서관,구로꿈나무도서관,"평일 : 10:00~19:00, 주말 : 10:00~17:00",매주 화요일 및 법정 공휴일,02-830-1623,http://lib.guro.go.kr,구로구,"서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)",참여,
2701,공공 도서관,구립김영삼도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일",02-827-0557,http://lib.dongjak.go.kr,동대문구,서울특별시 동작구 매봉로 1(상도1동 611),참여,2021-02-09
