"고유번호","언어","상호명","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"5507","ko","몽촌역사관","138-749 서울 송파구 방이동 88-3 ","05540 서울 송파구 올림픽로 424 (몽촌역사관) ","02-2152-5900","02-424-4205","http://baekjemuseum.seoul.go.kr/dreamvillage/","09:00~18:00","화~일","-월 -1월 1일","5호선 올림픽공원역 3번 출구    8호선 몽촌토성역 1번 출구 "," 꿈나무영화마당 몽촌토성역유물 몽촌역사관 역사 잠실 박물관 백제박물관올림픽공원역 움집터전시관","장애인화장실접근가능"
"450","ko","문화역서울 284","100-162 서울 중구 봉래동2가 122-28 ","04509 서울 중구 통일로 1 (서울역 본옥) ","02-3407-3500","02-3407-3510","http://www.seoul284.org ","11:00~19:00 (주중·주말) ※ 관람시간 30분 전 입장 마감","화~일","월요일","1호선 서울역 2번 출구    4호선 서울역 2번 출구   "," 기차역문화역서울284문화역서울전시 284 서울역전시회 미술관 구서울역 서울역역사 광화문 유적지","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"411","ko","봉은사 ","135-870 서울 강남구 삼성동 73 ","06087 서울 강남구 봉은사로 531 (봉은사) ","02-3218-4800","02-544-2141","http://www.bongeunsa.org/","법회 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음","","","7호선 청담역 2번 출구 도보 15분    2호선 삼성역 6번 출구 도보 10분   ","봉은사 코엑스 템플스테이 종교 사찰 연등행렬 봉은사역 불교 강남","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실"
"90","ko","서울 한양도성","110-126 서울 종로구 종로6가 70-6 ","03098 서울 종로구 율곡로 283 (종로6가 서울디자인지원센터) ","02-120","","http://seoulcitywall.seoul.go.kr","","","","1 4호선 동대문역 1 10번 출구"," 4대문 남산 한양도성 성곽 인왕산 동대문 낙산공원4소문 한성대입구역","장애인 전용 주차장장애인화장실"
"10231","ko","서울도서관 (옛 서울시청사)"," 서울특별시 중구 태평로1가 31","04524 서울특별시 중구 세종대로 110 (태평로1가) ","02-2133-0300","","http://lib.seoul.go.kr/","평일 09:00 - 21:00 주말 09:00 - 18:00 ※ 자료실별 이용시간이 상이하니 자세한 운영사항은 공지사항을 참고해 주시기 바랍니다.","화~일","-월요일 -법정 공휴일 및 관공서의 공휴일 -기타 관장이 필요하다고 인정하는 날  ","2호선 을지로입구 1번 출구 1호선 시청 5번 출구 도보 10 ~ 15분"," 서울도서관 시청사통통투어 광화문공공도서관 문화 서울시청사 시청역 시청 도서관을지로역","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"34149","ko","서울도시건축전시관"," 서울 중구 태평로1가 60-6 서울도시건축전시관","04519 서울 중구 세종대로 119 (태평로1가) ","02-736-8050","","https://sca.seoul.go.kr/seoulhour/site/urbanArch/home","10:00-18:00 (입장마감 17:30)","화 - 일","월요일(월요일이 공휴일인 경우 다음날 휴관) 1월1일","1 2호선 시청역 3번 출구에서 도보 1분","서울마루건축서울도시건축전시관seoulmaruseoulhour서울투어도시 전시서울전시 서울볼거리 서울데이트","엘리베이터장애인화장실접근가능"
"35078","ko","서울로7017 여행자터미널","04528 서울 중구 만리동1가 22-1 서울로7017 여행자터미널","  ","02-312-1697","","","10:00~19:00","연중 무휴","설 추석 당일 휴무","지하철 1 4호선 서울역 2번출구 지하철 2호선 충정로역 5번출구","서울로7017여행자터미널서울로7017여행자터미널","장애인화장실접근가능"
"1525","ko","서울시립미술관 (서소문본관)","100-813 서울 중구 서소문동 37 ","04515 서울 중구 덕수궁길 61 (서소문동 서울시립미술관) ","02-2124-8800","","http://sema.seoul.go.kr ","[하절기 (3월 ~ 10월)] 화~금 10:00~20:00 (토·일·공휴일 19:00까지) [동절기 (11월 ~ 2월)] 화~금 10:00~20:00 (토·일·공휴일 18:00까지) ※ 문화가 있는 날    - 서소문본관 북서울미술관 : 마지막 주 수요일 10:00 - 22:00","화~일","-월요일 -1월 1일 ","1·2호선 시청역 10번 출구    5호선 서대문역 6번 출구   "," 미술관미술 시청역 서소문동 서울전시갤러리 예술정동길서대문역 덕수궁문화 광화문서울시립미술관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"2723","ko","서울역사박물관","110-062 서울 종로구 신문로2가 2-1 ","03177 서울 종로구 새문안로 55 (신문로2가 서울역사박물관) ","02-724-0274","","http://www.museum.seoul.kr","09:00~18:00 ","화~일","-월 -1월 1일  ","3호선 경복궁 7번출구  5호선 서대문 4번 출구 300미터  5호선 광화문 7번 8번 출구 400미터  "," 경희궁 문화체험 광화문역 전통서울역사박물관 유물 박물관 역사 서대문역 광화문경복궁역 터치뮤지엄","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"33743","ko","서울역사박물관 온라인 교육 서비스"," 서울 종로구 신문로2가 2-1 ","03177 서울 종로구 새문안로 55 (신문로2가) ","02-724-0274","","https://museum.seoul.go.kr/www/edu/eduSch/eduSch2th.jsp?sso=ok","","","","1호선 시청역 123번 출구 / 5호선 광화문역 78번 출구 / 5호선 서대문역 4번 출구"," 박물관유물 역사공부 시청역교육 온라인체험 온라인교육서비스서울역사박물관 박물관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"1414","ko","선정릉(선릉)","135-090 서울시 강남구 삼성동 135-4 ","06153 서울특별시 강남구 선릉로100길 1 (삼성동) ","02-568-1291","02-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","06:00 ~ 21:00 (3월 ~ 10월) 06:00 ~ 17:30 (11월 ~ 1월) 06:00 ~ 18:00 (2월)","화~일","월요일","2호선·분당선 선릉역 10번 출구 9호선 선정릉역 3번 출구","선릉데이트장소도시속유네스코서울데이트장소추천문화유산공원데이트세계문화유산선릉역서울역사적명소서울공원서울가볼만한곳선정릉전릉선릉","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"3778","ko","송은(SONGEUN)"," 서울 강남구 청담동 92-9 ","06016 서울 강남구 도산대로 441 (청담동) ","02-3448-0100","02-3448-0105","http://www.songeun.or.kr","11:00~18:30","월~토","-일요일 -공휴일 ＊전시별 관람시간 확인요망","수인분당선 압구정로데오역 3번 출구에서 10분"," 전시 예술 미술관청담동 송은 문화재단 압구정로데오역 미술송은 강남","엘리베이터장애인 전용 주차장장애인화장실"
"27193","ko","송파관광정보센터","138-240 서울 송파구 신천동 32 ","05617 서울 송파구 잠실로 180 (신천동 송파관광정보센터) ","+82-2-421-0970~1","","","10:00~19:00 (동절기 18:00까지)","","설 추석명절 휴무","2호선 잠실역 1번 출구 8호선 잠실역 11번 출구","송파관광정보센터 사랑의자물쇠크로마키관광객 관광안내송파 사랑의우체통","장애인 안내(휠체어 대여 및 기타)"
"1427","ko","쇳대박물관","110-810 서울 종로구 동숭동 187-8","110-810 서울특별시 종로구 이화장길 100 (동숭동) ","02-766-6494","02-766-8643","http://ehwadong.com/","10:00 ~ 18:00 ","화~토","월요일 일요일","4호선 혜화 2번 출구 도보 20분 "," 동대문 대학로 종로구박물관쇳대시티투어버스 전시","엘리베이터장애인 전용 주차장접근가능"
"36048","ko","스마트서울 전시관"," 서울 중구 태평로1가 31 ","04524 서울 중구 세종대로 110 (태평로1가 서울특별시청)  B1","02-2133-2942","","http://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2410","10:00~18:00(입장마감 17:30) ※ 사전예약을 통한 전시관람","월요일 - 일요일","1월 1일 설날/추석 당일 매월 마지막 일요일","1호선 시청역 4번 출구 2호선 을지로입구역 하차 후 서울시청 방면 지하 연결출구","스마트서울스마트도시서울 전시관서울전시관데이트서울전시서울갈만한곳","엘리베이터장애인 전용 주차장장애인화장실접근가능"
"1442","ko","스페이스 씨","135-120 서울 강남구 신사동 627-8 스페이스씨","135-120 서울특별시 강남구 언주로 827 스페이스씨 (신사동) ","02-547-9177","","http://www.spacec.co.kr/","하절기(4-10월) 10:00 ~ 19:00  동절기(11월-3월) 10:00 ~ 18:00","월~토","-일요일 -1월1일 -구정 및 추석 연휴 -기타 기관장이 정하는 임시 휴일","3호선 압구정 3번 출구 도보 10분 "," 스페이스씨 코리아나화장품문화공간 압구정역 화장품 강남 코리아나 문화화장박물관 미술관  복합문화공간박물관 전시","엘리베이터장애인 전용 주차장접근가능"
"1153","ko","양화진외국인선교사묘원","121-883 서울 마포구 합정동 144 ","04084 서울 마포구 양화진길 46 (합정동 양화진홍보관) ","02-332-9174","02-332-9175","http://www.yanghwajin.net/v2/index.html","개방시간 10:00~17:00 안내시간 월~토요일 AM 10:00 11:30 / PM 02:00 03:30  (※ 신정 (1월 1일) 설 연휴 추석 연휴 성탄절에는 안내를 제공치 않습니다.) ","월~토","일요일 ※신정 (1월 1일) 설 연휴 추석 연휴 성탄절에는 안내를 제공치 않습니다.) ","6호선 합정역 7번 출구 도보 10분    2호선 합정역 7번 출구 도보 10분   ","합정동 기념관 양화진홍대 한국선교기념관양화진외국인선교사묘원선교사 합정역","장애인 전용 주차장장애인화장실접근가능"
"2435","ko","연세대학교 스팀슨관&언더우드관&아펜젤러관","120-140 서울 서대문구 신촌동 134","03722 서울특별시 서대문구 연세로 50 (신촌동) ","1599-1885","","http://www.yonsei.ac.kr/sc/intro/building2016.jsp","월~토 오전 9:00~5:00 연세대학교 캠퍼스 개방일 학교 내부 사정에 따라 이용 시간 및 이용 여하에 차이가 있음 ","","","2호선 신촌 2번 3번 출구 도보 15분"," 신촌역 배재학당 아펜젤러 유적지 언더우드 홍대연세대학교 신촌캠퍼스 스팀슨","엘리베이터장애인 전용 주차장장애인화장실접근가능"
"3629","ko","예술가의 집 (구 서울대학교 본관)","110-809 서울 종로구 동숭동 1-130","110-809 서울특별시 종로구 동숭길 3 (동숭동) ","02-760-4715","","http://artisthouse.arko.or.kr","10:00~20:00 (일요일 법정 공휴일 제외)","월화수목금토","","4호선 혜화 2번 출구 도보 5분  "," 한국문화예술위원회 혜화역예술 동대문 예술가의집","장애인 전용 주차장장애인화장실접근가능"
"4325","ko","예술의 전당 한가람미술관","137-070 서울 서초구 서초동 700","06757 서울특별시 서초구 남부순환로 2406  (서초동) ","02-580-1300","","http://www.sac.or.kr/SacHome/sachome/main","10:00~19:00","화~일","월요일","3호선 남부터미널 5번 출구 출구 도보  5-10분 소요  3호선 남부터미널 5번 출구 셔틀버스/4429번 버스 환승  ","전시 예술 한가람미술관미술관 예술의전당 문화 예술의전당전시 미술전시회 남부터미널역 혼자전시회","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"471","ko","운현궁 ","110-350 서울 종로구 운니동 114-10 ","03131 서울 종로구 삼일대로 464 (운현궁) ","02-766-9090","02-742-3900","http://unhyeongung.or.kr ","09:00 ~ 18:00 (입장마감 17:30 / 코로나19로 단축운영) ","화~일","월 (공휴일이 월요일일 경우 정상 개장)","3호선 안국역 4번출구 50m 앞    5호선 종로3가역 5번출구(안국역방면) 300m 앞   ","서울고궁투어데이트코스한국궁궐종묘서울궁궐서울볼거리서울산책코스서울서울가볼만한곳서울나들이여행서울여행운현궁","장애인화장실접근가능"
"27380","ko","이음피움 봉제역사관"," 서울 종로구 창신동 647-50 ","03097 서울 종로구 창신4가길 26 (창신동 이음피움 봉제역사관) ","02-747-6471","","http://iumpium.com/","10:00~18:00 (17:30에 입장 마감)","화~일","-월요일 -공휴일","1호선 동대문역 1번 출구","도시재생 봉제산업 문화역사공간 봉제역사관이음피움동대문역 서울투어 창신동","장애인화장실"
"859","ko","전쟁기념관","140-021 서울 용산구 용산동1가 8 ","04353 서울 용산구 이태원로 29 (용산동1가 전쟁기념관) ","02-709-3114","02-709-3100","http://www.warmemo.or.kr","09:30 ~ 18:00  ","화~일","월요일 (월요일이 포함된 연휴에는 연휴 마지막 다음날 휴관)","6호선 삼각지역 11번 12번 출구 (도보 3분)   <br /> 4호선 삼각지역 1번 출구 (도보 5분)   <br /> 1호선 남영역 1번 출구 (도보 10분)   ","서울아이들데리고갈만한곳서울가볼만한곳추천용산전쟁기념관서울박물관추천용산어린이박물관전쟁기념관서울전쟁사박물관6.25전쟁서울아이들과함께전쟁기념관어린이박물관","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"2587","ko","조계사","110-170 서울 종로구 견지동 45","03144 서울특별시 종로구 우정국로 55 (조계사) ","02-768-8600","02-720-2299","http://www.jogyesa.kr","법회 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음","","","3호선 안국 6번 출구 도보 10분 5호선 광화문 2번 출구 도보 15분 1호선 종각 2번 출구 도보 10분","종로구조계사절목불좌상종교사찰혜능대사서울템플스테이조계사서울조계사유형문화재","접근가능"
"507","ko","종묘","110-400 서울 종로구 훈정동 1-2 ","03135 서울 종로구 종로 157 (훈정동 종묘공원) ","02-765-0195","02-3672-4332","http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM","2월 ~ 5월 9월 ~ 10월 09:00~18:00 (입장마감 17:00) 6월 ~ 8월 09:00~18:30 (입장마감17:30) 11월 ~ 1월 09:30~17:30 (입장마감16:30) (※ 홈페이지 참조)","","화요일","5호선 종로3가역 8번 출구 도보 5분 <br/> 1호선 종로3가역 11번 출구 도보 5분 <br/> 3호선 종로3가역 8번 출구 도보 5분   ","창덕궁종로3가역 종묘 광화문유네스코세계문화유산  종묘사직종묘제례 창경궁","장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능"
"297","ko","창경궁","110-360 서울 종로구 와룡동 2-1 ","03072 서울 종로구 창경궁로 185 (와룡동 창경궁) ","02-762-4868","","http://cgg.cha.go.kr/agapp/public/html/HtmlPage.do?pg=/cgg/06/greeting_01.jsp&pageNo=74000000&siteCd=CGG","09:00 ~ 21:00 (입장마감 20:00)","화~일","월","4호선 혜화역 4번 출구 도보 15분  ","서울야경궁궐야행창경궁서울가볼만한곳서울볼거리서울밤산책서울데이트코스서울궁궐서울야간데이트한국궁궐한국역사적명소서울여행코스한국전통문화전통","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실"
"37176","ko","창경궁 대온실 "," 서울 종로구 와룡동 2-1 ","03072 서울 종로구 창경궁로 185 (와룡동 창경궁) ","(02) 762-4868~9","(02) 762-9514","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","09:00 - 18:00","화 - 일","월요일","혜화역 4번출구 700m","창경궁데이트창경궁서울가볼만한곳창경궁포토존창경궁대온실","장애인 안내(휠체어 대여 및 기타)"
"295","ko","창덕궁","110-360 서울 종로구 와룡동 2-71 ","03072 서울 종로구 율곡로 99 (와룡동 창덕궁) ","02-3668-2300","02-762-2070","http://www.cdg.go.kr","2-5월	09:00 ~ 18:00(입장마감은 17:00) 6-8월	09:00 ~ 18:30(입장마감은 17:30) 9-10월	09:00 ~ 18:00(입장마감은 17:00) 11-1월	09:00 ~ 17:30(입장마감은 16:30)","화~일","월","5호선 종로3가역 6번 출구 도보 10분    3호선 안국역 3번 출구 도보 5분   ","서울데이트코스한국여행코스서울명소서울한복투어세계유산서울여행코스서울가볼만한곳한국문화서울필수여행지한국전통서울창덕궁고궁투어","장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실"
