gid,라벨
다사680441,54
다사676441,54
다사679440,54
다사680442,54
다사680443,54
다사590465,119
다사591470,119
다사590468,119
다사592468,119
다사591467,119
다사591466,119
다사592470,119
다사592467,119
다사590467,119
다사589468,119
다사589469,119
다사593470,119
다사590466,119
다사591468,119
다사592469,119
다사590469,119
다사591469,119
다사589465,119
다사589470,119
다사593469,119
다사586587,7
다사583586,7
다사585586,7
다사586585,7
다사584586,7
다사582584,7
다사585585,7
다사585584,7
다사583585,7
다사586586,7
다사582585,7
다사584587,7
다사583584,7
다사585587,7
다사585588,7
다사584585,7
다사585583,7
다사588578,7
다사584584,7
